,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anisotropy Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Mineralogist: June 2018 Deposit AM-18-66285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUFFY: SINGLE-CRYSTAL ELASTIC PROPERTIES OF CUBIC MINERALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Composition,Group,Structure/SG,C1,NS,r,11,44,12,K,GR,GV,G,GHS1,GHS2,GHSA,K/G,nVRH,EVRH,VP,VB,VS,VP/VS,C12/C11,C44/C11,AZ,AU,AL,AG,,n_110,n_001,,S11,S12,S44
Silicates,,,,,,g/cm3,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,-,-,GPa,km/s,km/s,km/s,-,-,-,-,-,-,%,,-,-,,GPa-1,GPa-1,GPa-1
Spr-Alm,(Mn0.55Fe0.44Ca0.01)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,4.247,307.3,95.2,109.7,175.567,96.608,96.640,96.624,96.625,96.624,96.624,1.817,0.267,244.938,8.466,6.430,4.770,1.775,0.357,0.310,0.9636,0.0017,0.0007,0.017,,0.280,0.257,,0.0040,-0.0011,0.0105
Spr-Alm-Grs,(Mn0.75Fe0.18Ca0.05Mg0.02)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,4.172,305.5,96.2,111.9,176.433,96.439,96.440,96.440,96.440,96.440,96.440,1.829,0.269,244.729,8.551,6.503,4.808,1.778,0.366,0.315,0.9938,0.0000,0.0000,0.000,,0.271,0.267,,0.0041,-0.0011,0.0104
Spr-Alm,(Mn0.95Fe0.05)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,4.195,309.5,95.2,113.5,178.833,96.301,96.320,96.310,96.311,96.311,96.311,1.857,0.272,244.957,8.558,6.529,4.791,1.786,0.367,0.308,0.9714,0.0010,0.0005,0.010,,0.282,0.263,,0.0040,-0.0011,0.0105
Spr,Mn3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,4.185,299.0,92.0,108.2,171.800,93.330,93.360,93.345,93.346,93.346,93.346,1.840,0.270,237.095,8.414,6.407,4.723,1.782,0.362,0.308,0.9644,0.0016,0.0007,0.016,,0.282,0.260,,0.0041,-0.0011,0.0109
Grs,(Ca0.99Mg0.01)3(Al0.98Fe0.02)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.597,318.8,102.9,92.1,167.667,106.840,107.080,106.960,106.963,106.959,106.961,1.568,0.237,264.612,9.288,6.827,5.453,1.703,0.289,0.323,0.9078,0.0112,0.0050,0.112,,0.270,0.211,,0.0036,-0.0008,0.0097
Grs,Ca3(Al0.99Fe0.01)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.602,321.7,104.6,91.4,168.167,108.579,108.820,108.700,108.703,108.698,108.701,1.547,0.234,268.292,9.323,6.833,5.493,1.697,0.284,0.325,0.9084,0.0111,0.0050,0.111,,0.266,0.208,,0.0036,-0.0008,0.0096
Grs-Alm-Spr,(Ca0.85Fe0.08Mn0.07)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.62,317.7,101.1,98.3,171.433,104.373,104.540,104.456,104.459,104.456,104.458,1.641,0.247,260.467,9.265,6.882,5.372,1.725,0.309,0.318,0.9216,0.0080,0.0036,0.080,,0.274,0.224,,0.0037,-0.0009,0.0099
Grs-Pyr-Alm,(Ca0.49Mg0.28Fe0.23)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.741,310.2,99.5,100.4,170.333,101.592,101.660,101.626,101.627,101.626,101.627,1.676,0.251,254.303,9.042,6.748,5.212,1.735,0.324,0.321,0.9485,0.0034,0.0015,0.034,,0.269,0.237,,0.0038,-0.0009,0.0101
Grs-Adr,Ca0.97Mg0.02Fe0.01)3(Al0.91Fe0.09)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.605,313.6,99.5,90.7,165.000,103.959,104.280,104.119,104.125,104.117,104.121,1.585,0.239,258.074,9.180,6.765,5.374,1.708,0.289,0.317,0.8928,0.0155,0.0069,0.154,,0.277,0.209,,0.0037,-0.0008,0.0101
Grs-Adr,(Ca0.94Fe0.03Mg0.02Mn0.01)3(Al0.86Fe0.14)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.659,306.1,98.8,88.7,161.167,102.535,102.760,102.648,102.651,102.647,102.649,1.570,0.237,254.015,9.025,6.637,5.297,1.704,0.290,0.323,0.9089,0.0110,0.0049,0.109,,0.269,0.212,,0.0038,-0.0008,0.0101
Ard-Grs,(Ca0.93Fe0.04Mg0.03)3(Fe0.70Al0.30)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.775,281.2,87.9,80.4,147.333,92.507,92.900,92.703,92.710,92.700,92.705,1.589,0.240,229.893,8.472,6.247,4.956,1.710,0.286,0.313,0.8755,0.0212,0.0095,0.212,,0.285,0.205,,0.0041,-0.0009,0.0114
Adr,Ca3(Fe0.96Al0.04)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.836,289,85,92,157.667,89.930,90.400,90.165,90.176,90.162,90.169,1.749,0.260,227.188,8.511,6.411,4.848,1.756,0.318,0.294,0.8629,0.0261,0.0117,0.261,,0.310,0.220,,0.0041,-0.0010,0.0118
Adr,Ca3(Fe0.98Al0.02)2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.843,284,82.9,88.1,153.400,88.329,88.920,88.624,88.638,88.619,88.629,1.731,0.258,222.940,8.406,6.318,4.802,1.750,0.310,0.292,0.8464,0.0335,0.0149,0.334,,0.314,0.213,,0.0041,-0.0010,0.0121
Uv,Ca3Cr2Si3O12,Silicate,"Garnet, Ia-3d",7,9.AD,3.850,304,84,91,162.000,91.754,93.000,92.377,92.413,92.353,92.383,1.754,0.260,232.868,8.606,6.487,4.898,1.757,0.299,0.276,0.7887,0.0679,0.0302,0.674,,0.339,0.198,,0.0038,-0.0009,0.0119
Hgr,Ca3Al2(SiO4)1.72(H4O4)1.28,Silicate,"Garnet, Ia-3d",7,9.AD,3.13,187,63.9,57,100.333,64.336,64.340,64.338,64.338,64.338,64.338,1.559,0.236,159.023,7.711,5.662,4.534,1.701,0.305,0.342,0.9831,0.0003,0.0002,0.003,,0.242,0.231,,0.0062,-0.0015,0.0156
