Name,Composition,Group,Structure/SG,C1,NS,r,11,44,12,K,GR,GV,G,GHS1,GHS2,GHSA,K/G,nVRH,EVRH,VP,VB,VS,VP/VS,C12/C11,C44/C11,AZ,AU,AL,AG,n_110,n_001,S11,S44,S12
Silicates,,,,,,g/cm3,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,-,-,GPa,km/s,km/s,km/s,-,-,-,-,-,-,%,-,-,GPa-1,GPa-1,GPa-1
Fluorite,CaF2,Dihalide,"Fluorite, Fm-3m",7.0,3.AB,3.181,164.6,33.8,44.4,84.46666666666665,40.97176280758371,44.31999999999999,42.64588140379185,42.81518435968138,42.42838664130786,42.621785500494624,1.9806523839171095,0.2839226075284003,109.50802250460669,6.66548919929114,5.1530083163297,3.6614803929937754,1.8204355844825828,0.26974483596597815,0.20534629404617252,0.5623960066555741,0.4086030186375753,0.1756496801670799,3.9256278475212585,0.4648652756095613,0.1443498284503978,0.006861755007111275,0.02958579881656805,-0.001457712546965266
Strontiofluorite,SrF2,Dihalide,"Fluorite, Fm-3m",7.0,3.AB,4.278,124,31.8,44,70.66666666666667,34.64052287581699,35.08,34.86026143790849,34.87578057105996,34.85545302750681,34.86561679928339,2.027141041169038,0.2881781707096868,89.8124556190928,5.232933596722808,4.064310816021026,2.8545978199850857,1.8331596696693857,0.3548387096774194,0.2564516129032258,0.795,0.06343396226415088,0.028190085192089757,0.6303411191648458,0.36518771331058014,0.22525597269624573,0.00990566037735849,0.031446540880503145,-0.0025943396226415093
Fluorocronite,PbF2,Dihalide,"Fluorite, Fm-3m",7.0,3,7.75,95.6,20.9,46.3,62.73333333333333,22.254211663066954,22.4,22.327105831533476,22.333934530777697,22.32900051317656,22.331467521977128,2.809738700872394,0.34091996792992596,59.87772407117586,3.4548293973168773,2.845105209990305,1.6973263921497805,2.035453766167566,0.48430962343096234,0.2186192468619247,0.847870182555781,0.03275522385162599,0.014600808203232283,0.3264828366763547,0.3979241152479143,0.291591145021146,0.015293815866337008,0.04784688995215311,-0.0049901597928922025
Parascandolaite,KMgF3,Complex Halide,"Perovskite, Pm-3m",7.0,3.AA,3.151,136,49.4,42,73.33333333333333,48.41117597998332,48.44,48.425587989991655,48.42566837498389,48.42595570362564,48.425812039304766,1.5143509119288232,0.2293909923829772,119.06796335149004,6.61544656744983,4.8242134089755035,3.920245362676106,1.687508294872104,0.3088235294117647,0.36323529411764705,1.0510638297872341,0.0029770006029803397,0.0013309589562101516,0.02976114613480323,0.2123059606997139,0.24325845331332357,0.008607350096711798,0.020242914979757085,-0.002030947775628627
KMnF3,KMnF3,Complex Halide,"Perovskite, Pm-3m",7.0,3,3.392,112.81,26.99,37.61,62.67666666666667,30.424031658472238,31.234,30.82901582923612,30.862200518474808,30.808084843792845,30.835142681133824,2.033041437775267,0.2887063342186666,79.45909595372825,5.531375481085157,4.298580100510301,3.014754197971234,1.8347683153762495,0.3333924297491357,0.23925183937594183,0.7178191489361702,0.13311324919394973,0.05875142019163722,1.3136461215859598,0.3979552610016467,0.20071715835234522,0.010638014984028128,0.037050759540570584,-0.0026598573563974062
KNiF3,KNiF3,Complex Halide,"Perovskite, Pm-3m",7.0,3,3.98,158.2,40.3,48.5,85.06666666666666,45.08372425045891,46.11999999999999,45.601862125229445,45.63867712521911,45.57449840800965,45.60658776661438,1.8654208995470631,0.2725985048610942,116.0657231188975,6.053968952303419,4.623151991699868,3.3849304723762743,1.788506145608786,0.3065739570164349,0.2547408343868521,0.7347310847766636,0.11492792207938951,0.050815528907876245,1.136220870427744,0.3741320697112576,0.191874807958306,0.007383345287661134,0.02481389578163772,-0.0017324249949277456
KZnF3,KZnF3,Complex Halide,"Perovskite, Pm-3m",7.0,3,4.018,134.5,38.2,53,80.16666666666667,39.18071985904858,39.220000000000006,39.200359929524296,39.20136280994254,39.20085065382551,39.201106731884025,2.045049249823036,0.2897730989366537,101.11913941146956,5.741091595910536,4.466753092829434,3.1234895774197726,1.8380376990574403,0.3940520446096654,0.28401486988847585,0.9374233128834356,0.005012687502008006,0.0022406190361600087,0.05010176057317513,0.3121160241058622,0.27106208715531077,0.009565960486205885,0.026178010471204185,-0.0027039781641008637
RbCdF3,RbCdF3,Complex Halide,"Perovskite, Pm-3m",7.0,3,4.97,109.6,20.4,37.3,61.4,24.705527638190954,26.7,25.702763819095477,25.821702091739958,25.590582726611345,25.70614240917565,2.38884815781499,0.3163237823687206,67.66631857536333,4.387432934907228,3.5148434884772533,2.2741113115595892,1.9292955945495556,0.3403284671532847,0.18613138686131386,0.5643153526970954,0.403649011471809,0.17360061628510529,3.879879175342385,0.49726296759744887,0.17109572361875144,0.011030466313151108,0.04901960784313726,-0.002800792331385544
RbCaF3,RbCaF3,Complex Halide,"Perovskite, Pm-3m",7.0,3,3.43,102,21.5,24.5,50.333333333333336,26.157770800627944,28.4,27.27888540031397,27.3855523268735,27.12120485394983,27.253378590411664,1.8451389268549079,0.2704813556098276,69.31463060583205,5.027770707751459,3.8307233266125404,2.820111312253936,1.7828270415798166,0.24019607843137256,0.2107843137254902,0.5548387096774193,0.42859714928732195,0.18390057252266018,4.109825541747112,0.4547658265220499,0.13096311029617427,0.010809656056398206,0.046511627906976744,-0.0020935697500534074
RbCoF3,RbCoF3,Complex Halide,"Perovskite, Pm-3m",7.0,3,4.76,129.6,41.5,55.4,80.13333333333333,39.620432321152855,39.739999999999995,39.68021616057642,39.68166182522654,39.684364135589796,39.683012980408165,2.019478246011885,0.28748829511492424,102.1756277087444,5.286741943873735,4.103015219756981,2.8872443377149977,1.8310684256316634,0.42746913580246915,0.3202160493827161,1.1185983827493262,0.01508914363654057,0.0067379083579829045,0.15066409714513426,0.24763101130008303,0.32161452140413116,0.010371303891537467,0.024096385542168676,-0.003105785057249598
